P_Code,ISO_Alpha_3Code,OfficialCountryCode_Short
ABW,ABW,Aruba
AFG,AFG,Afghanistan
ANG,AGO,Angola
AIA,AIA,Anguilla
ALB,ALB,Albania
AND,AND,Andorra
UAE,ARE,United Arab Emirates
ARG,ARG,Argentina
ARM,ARM,Armenia
ANT,ATG,Antigua and Barbuda
AUL,AUS,Australia
AUS,AUT,Austria
AZE,AZE,Azerbaijan
BDI,BDI,Burundi
BEL,BEL,Belgium
BEN,BEN,Benin
BES,BES,Bonaire
BKF,BFA,Burkina Faso
BGD,BGD,Bangladesh
BUL,BGR,Bulgaria
BAH,BHR,Bahrain
BHS,BHS,Bahamas
BSN,BIH,Bosnia and Herzegovina
BLR,BLR,Belarus
BZE,BLZ,Belize
BER,BMU,Bermuda
BOL,BOL,Bolivia (Plurinational State of)
BRA,BRA,Brazil
BAR,BRB,Barbados
BRU,BRN,Brunei Darussalam
BHU,BTN,Bhutan
BOT,BWA,Botswana
CAR,CAF,Central African Rep.
CAN,CAN,Canada
SWI,CHE,Switzerland
CHL,CHL,Chile
CHI,CHN,China
ICO,CIV,Côte d'Ivoire
CMR,CMR,Cameroon
COD,COD,Dem. Rep. of the Congo
COB,COG,Congo
COK,COK,Cook Islands
COL,COL,Colombia
COI,COM,Comoros
CVI,CPV,Cabo Verde
COS,CRI,Costa Rica
CUB,CUB,Cuba
CUW,CUW,Curaçao
CAY,CYM,Cayman Islands
CYP,CYP,Cyprus
CZE,CZE,Czech Rep.
GFR,DEU,Germany
DJB,DJI,Djibouti
DMA,DMA,Dominica
DEN,DNK,Denmark
DOM,DOM,Dominican Rep.
ALG,DZA,Algeria
ECU,ECU,Ecuador
ARE,EGY,Egypt
ERT,ERI,Eritrea
WSH,ESH,Western Sahara
SPA,ESP,Spain
EST,EST,Estonia
ETH,ETH,Ethiopia
FIN,FIN,Finland
FIJ,FJI,Fiji
FRA,FRA,France
FRO,FRO,Faeroe Islands
FSM,FSM,Micronesia (Federated States of)
GAB,GAB,Gabon
GBR,GBR,United Kingdom
GEO,GEO,Georgia
GHA,GHA,Ghana
GIB,GIB,Gibraltar
GUI,GIN,Guinea
GLP,GLP,Guadeloupe
GAM,GMB,Gambia
GNB,GNB,Guinea-Bissau
EGU,GNQ,Equatorial Guinea
GRE,GRC,Greece
GRN,GRD,Grenada
GRL,GRL,Greenland
GUA,GTM,Guatemala
FGU,GUF,French Guiana
GUY,GUY,Guyana
HKG,HKG,China
HON,HND,Honduras
HRV,HRV,Croatia
HAI,HTI,Haiti
HUN,HUN,Hungary
INS,IDN,Indonesia
IND,IND,India
IRE,IRL,Ireland
IRN,IRN,Iran (Islamic Rep. of)
IRQ,IRQ,Iraq
ICE,ISL,Iceland
ISR,ISR,Israel
ITA,ITA,Italy
JAM,JAM,Jamaica
JOR,JOR,Jordan
JPN,JPN,Japan
KAZ,KAZ,Kazakhstan
KEN,KEN,Kenya
